"","Year","Players","Runs","Venue","Against","Opponents"
"1",2008,"M M Patel-Zaheer Khan-R P Singh-I K Pathan-P P Ojha-R G Sharma-Yuvraj Singh-V Kohli-G Gambhir-S K Raina-M S Dhoni",-112,"Away","SL","S T Jayasuriya-B S M Warnapura-M L Udawatte-K C Sangakkara-D P M Jayawardene-C K Kapugedera-J Mubarak-T Thushara-K M D Kulasekara-B A W Mendis-C R D Fernando"
"2",2010,"M Vijay-S R Tendulkar-V Kohli-Yuvraj Singh-M S Dhoni-S K Raina-R G Sharma-Harbhajan Singh-Zaheer Khan-A Nehra-M M Patel",1,"Away","SA","D W Steyn-L L Tsotsobe-W D Parnell-M Morkel-J Botha-J-P Duminy-H M Amla-G C Smith-C A Ingram-A B de Villiers-D A Miller"
"3",2008,"Zaheer Khan-P Kumar-I Sharma-Yuvraj Singh-Y K Pathan-Harbhajan Singh-G Gambhir-V Sehwag-S K Raina-M S Dhoni-R G Sharma",84,"Away","NZ","J D Ryder-B B McCullum-L  R Taylor-M J Guptill-J D P Oram-P D McGlashan-G D Elliott-D L Vettori-K D Mills-E P Thompson-I E O'Brien"
"4",2008,"V Kohli-G Gambhir-Yuvraj Singh-S K Raina-S Badrinath-M S Dhoni-R G Sharma-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel",33,"Away","SL","W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-K C Sangakkara-C K Kapugedera-D P M Jayawardene-L P C Silva-T M Dilshan"
"5",2014,"B Kumar-U T Yadav-Mohammed Shami-R Ashwin-S K Raina-R A Jadeja-A M Rahane-S Dhawan-V Kohli-A T Rayudu-M S Dhoni",-41,"Away","ENG","A N Cook-A D Hales-M M Ali-J E Root-E J G Morgan-J C Buttler-B A Stokes-C R Woakes-J C Tredwell-S T Finn-J M Anderson"
"66",2009,"P Kumar-A Nehra-I Sharma-R A Jadeja-Harbhajan Singh-Yuvraj Singh-V Sehwag-S R Tendulkar-V Kohli-M S Dhoni-S K Raina",-24,"Home","AUS","S R Watson-S E Marsh-R T Ponting-C L White-M E K Hussey-M C Henriques-M G Johnson-G A Manou-N M Hauritz-P M Siddle-D E Bollinger"
"6",2008,"V Kohli-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-R G Sharma-S Badrinath-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel",46,"Away","SL","W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-B S M Warnapura-K C Sangakkara-D P M Jayawardene-C K Kapugedera-T M Dilshan"
"7",2008,"V Sehwag-G Gambhir-M S Dhoni-Yuvraj Singh-Y K Pathan-S K Raina-R G Sharma-I K Pathan-P Kumar-P P Ojha-I Sharma",67,"Away","SL","K M D Kulasekara-M F Maharoof-C R D Fernando-A D Mathews-M Muralitharan-S T Jayasuriya-T M Dilshan-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera"
"8",2013,"R V Uthappa-A M Rahane-C A Pujara-A T Rayudu-S K Raina-W P Saha-S T R Binny-A R Patel-A Mishra-M M Sharma-U T Yadav",47,"Away","BAN","Mashrafe Bin Mortaza-Al-Amin Hossain-Taskin Ahmed-Ziaur Rahman-Shakib Al Hasan-Tamim Iqbal-Anamul Haque-Mohammad Mithun-Mushfiqur Rahim-Mohammad Mahmudullah-Nasir Hossain"
"9",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Y K Pathan-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel",58,"Away","NZ","K D Mills-T G Southee-I G Butler-J D P Oram-J S Patel-J D Ryder-G D Elliott-B B McCullum-L  R Taylor-M J Guptill-P D McGlashan"
"10",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-Y K Pathan-Zaheer Khan-P Kumar-P P Ojha-I Sharma",15,"Away","SL","K M D Kulasekara-T Thushara-M F Maharoof-B A W Mendis-M Muralitharan-T M Dilshan-S T Jayasuriya-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera"
"11",2014,"R G Sharma-S Dhawan-V Kohli-M S Dhoni-A T Rayudu-S K Raina-S T R Binny-A R Patel-R Ashwin-D S Kulkarni-U T Yadav",77,"Away","BAN","Mustafizur Rahman-Mashrafe Bin Mortaza-Arafat Sunny-Rubel Hossain-Nasir Hossain-Shakib Al Hasan-Tamim Iqbal-Soumya Sarkar-Litton Das-Mushfiqur Rahim-Sabbir Rahman"
"12",2012,"G Gambhir-V Sehwag-V Kohli-R G Sharma-S K Raina-M S Dhoni-I K Pathan-R Ashwin-Zaheer Khan-U T Yadav-P P Ojha",21,"Away","SL","K M D Kulasekara-S L Malinga-A D Mathews-N L T Perera-T M Dilshan-H M R Herath-W U Tharanga-K C Sangakkara-L D Chandimal-D P M Jayawardene-H D R Thirimanne"
"13",2008,"I K Pathan-I Sharma-L Balaji-V Sehwag-R A Jadeja-Y K Pathan-S K Raina-Yuvraj Singh-R G Sharma-G Gambhir-M S Dhoni",-68,"Away","SL","T M Dilshan-S T Jayasuriya-K C Sangakkara-S H T Kandamby-D P M Jayawardene-C K Kapugedera-M F Maharoof-T Thushara-K M D Kulasekara-M Muralitharan-B A W Mendis"
"14",2013,"Mohammed Shami-B Kumar-V R Aaron-R Ashwin-R A Jadeja-V Kohli-R G Sharma-S Dhawan-A M Rahane-A T Rayudu-M S Dhoni",-87,"Away","NZ","M J Guptill-J D Ryder-K S Williamson-L  R Taylor-B B McCullum-J D S Neesham-L Ronchi-N L McCullum-M J Henry-K D Mills-M J McClenaghan"
"15",2008,"V Sehwag-S R Tendulkar-M S Dhoni-Yuvraj Singh-S K Raina-Y K Pathan-G Gambhir-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel",53,"Away","NZ","K D Mills-I E O'Brien-I G Butler-J D P Oram-D L Vettori-J D Ryder-G D Elliott-B B McCullum-M J Guptill-L  R Taylor-N T Broom"
"16",2013,"R G Sharma-S Dhawan-V Kohli-A T Rayudu-S K Raina-K K D Karthik-R A Jadeja-A Mishra-R Vinay Kumar-Mohammed Shami-J D Unadkat",58,"Away",NA,"K M Jarvis-B V Vitori-T L Chatara-E Chigumbura-P Utseya-H Masakadza-S C Williams-V Sibanda-Sikandar Raza-B R M Taylor-M N Waller"
"17",2013,"B Kumar-Mohammed Shami-I Sharma-R A Jadeja-V Kohli-R Ashwin-S K Raina-S Dhawan-R G Sharma-A M Rahane-M S Dhoni",-15,"Away","NZ","M J Guptill-J D Ryder-K S Williamson-L  R Taylor-C J Anderson-B B McCullum-L Ronchi-N L McCullum-K D Mills-T G Southee-M J McClenaghan"
"18",2015,"A M Rahane-M Vijay-R V Uthappa-M K Tiwary-M K Pandey-K M Jadhav-S T R Binny-Harbhajan Singh-A R Patel-B Kumar-M M Sharma",83,"Away",NA,"D T Tiripano-N Madziva-C J Chibhabha-H Masakadza-P Utseya-A G Cremer-R W Chakabva-E Chigumbura-R Mutumbami-Sikandar Raza-M N Waller"
